name,price,type,address,area,longitude,latitude,year,month,day
隆晟·高新名邸,0,2室/3室,长春周边范家屯板块硅谷大街与科技二路交会,106,125.167341,43.738345,0,0,0
御桂园咏椿,0,1室/2室/3室,长春周边范家屯板块硅谷副街与科技一路交会处,81,125.161848,43.738349,0,0,0
万龙银河城,0,1室/2室/3室,宽城兰家板块海尔大道近甲五路,81,125.257595,44.011148,0,0,0
硅谷印象,0,2室,长春周边范家屯板块敬民路与阜育西街交汇,74,125.182483,43.743863,0,0,0
双泽·润和园,0,2室/3室,长春周边范家屯板块硅谷大街与硅谷副街交汇,106,125.159713,43.736226,0,0,0
新大赛维利亚小镇,5500,2室/3室,宽城合隆镇德隆大街,95,125.165899,44.060777,2020,11,20
益田翠堤悦府,12000,2室/3室,高新硅谷大街硅谷大街与超达大路交会高新喜来登南,120,125.240166,43.798484,2019,03,11
新龙枫丹九里,0,2室/3室,宽城合隆镇合平路与合隆大街交汇处海之恋广场东,110,125.169856,44.064967,0,0,0
金颢·名仕樾府,0,2室/3室,宽城合隆镇北青年路与沃特路交汇吉林司法警官名,107,125.182117,44.071315,0,0,0
德辉首府,9200,2室/3室/4室,二道远达大街新荣街与乾安路交会处,112,125.384489,43.921202,2020,10,01
红星观棠源筑,0,1室/2室/3室,净月净月大街长清公路公里处,82,125.518503,43.683396,0,0,0
睿德上品,0,2室/3室/4室,净月福祉大路生态东街与福祉大路交汇东行米,114,125.389838,43.784539,0,0,0
睿德·锦绣山河,0,3室,二道莲花山度假区莲花山大路与雾开河大街交汇,115,125.423404,43.877131,0,0,0
六合一方,0,1室/2室/3室/4室,经开东方广场吉林大路,129,125.448337,43.882529,0,0,0
大众置业理想城市,9800,2室/3室/4室/别墅,南关南临河街临河街与福祉路交会,138,125.368507,43.785692,2019,11,16
宝裕悦兰湾,12000,2室/3室/4室/5室/6室/7室,南关南临河街临河街与福祉大路交会,142,125.363288,43.787216,2020,08,17
力旺林溪湖,0,2室/3室/4室,二道莲花山度假区东吉林大路与林溪大街交会,164,125.534864,43.890557,0,0,0
学府世家尊府,0,2室,宽城宽城装备大路与建业大街交汇处,74,125.18318,43.984818,0,0,0
世茂莲花山小镇,10500,别墅,二道莲花山度假区龙双公路号,178,125.696523,43.838513,2020,09,19
东安开运公馆,10000,商住,朝阳朝阳开运街与电台街交会,46,125.258337,43.849178,2018,05,10
龙腾文理新时代,0,商住,绿园老城区西安大路与西部快速路交汇西行米,51,125.2873,43.899842,0,0,0
华大城,8600,1室/2室/3室,宽城火车站板块小南街,76,125.333361,43.956673,2020,08,21
雨润星雨华府,6900,2室/3室,宽城新光复路北凯旋路,93,125.272459,43.990385,2020,07,18
奥体玉园,9000,2室/3室,北湖科技开发区奥体中心中科大街近景绘路,111,125.416151,43.989267,2018,10,20
龙腾英才时代,0,2室/3室,北湖科技开发区工业大学湖畔街与锦普路交会,93,125.367979,44.001643,2020,08,30
京誉府,0,2室/3室/4室,宽城火车站板块凯旋路与北环城路交会北行米,101,125.311771,43.963637,0,0,0
轩泽硅谷壹号·书香邑,0,2室/3室,长春周边范家屯板块硅谷大街与富民路交会,117,125.103177,43.722889,0,0,0
高新嘉悦,5400,1室/2室,长春周边范家屯板块硅谷副街与科技二路交会,71,125.164205,43.737,2020,10,25
吉盛碧海华庭·天安府,0,2室/3室,宽城合隆镇德隆大街与博硕路交会东行米,100,125.175062,44.06682,0,0,0
恒居壹号,5100,1室/2室/3室,宽城合隆镇北青年路与合滨路交汇西行米,92,125.183655,44.051397,2020,09,12
新星宇金麟府,0,2室/3室,绿园老城区基隆中街与新竹路交会,105,125.278435,43.915304,0,0,0
天禄金典名城,0,1室/2室/3室,二道远达大街北远达大街与龙兴桥交会处,104,125.382633,43.938736,0,0,0
豪邦锦上,0,2室/3室/4室/5室,南关南临河街临河街与福祉大路交汇处,184,125.364528,43.787921,2020,12,01
金色橄榄城,11000,2室/3室/4室,二道二道吉林大路与洋浦大街交会处,113,125.417205,43.882525,2019,05,12
万盛珑玺,8900,2室/3室/4室,宽城宽城小南街与北三环交汇处,102,125.336138,43.955323,2019,09,21
大众置业湖滨公园壹号,11500,2室/3室,绿园西客站西环城路与南阳路交会西行米,108,125.222784,43.874885,2019,12,31
力旺新大麓,7200,2室/3室/4室,宽城装备制造产业开发区学建大路和兴铁街交汇,97,125.145089,43.993328,2020,08,22
明宇MIMA,0,商住,净月生态大街生态大街与天工路交会,49,125.376538,43.796406,0,0,0
吉邦水韵铭城,0,2室/3室,长春周边范家屯板块东胜路与华翔大街交会处,106,125.090721,43.731215,0,0,0
江南公馆,0,2室/3室,长春周边范家屯板块西胜利大街与范伊公路交汇处,101,125.063477,43.704745,0,0,0
兴泰东郡.天著,0,2室/3室,长春周边范家屯板块硅谷大街与东胜路交汇东行米,101,125.109303,43.721103,0,0,0
招商·学府1872,0,2室/3室/4室,北湖科技开发区龙翔广场北远达大街与才学路交汇口西北侧,102,125.380542,43.996099,0,0,0
阳光上城雅居,0,2室/3室,宽城合隆镇荣发路与北青年路交汇东行米,105,125.19623,44.056359,0,0,0
龙腾香格里,0,2室/3室,二道二道东环城路与乾安路交会处北行米右转,107,125.387639,43.923297,0,0,0
新星宇摩登公园,0,1室/2室/3室,宽城宽城凯旋路与铁北二路交会西行米,92,125.314912,43.913359,0,0,0
青怡坊雲琅,8500,商住,净月南临河街临河街与天合路交汇处,53,125.370499,43.795519,2020,07,11
龍府御澋園,0,1室/2室/3室,宽城合隆镇繁华路与合隆大街交会,89,125.178434,44.056233,0,0,0
阳光庄园,6500,2室/3室,长春周边范家屯板块硅谷大街与东一路交汇,116,125.107765,43.72215,2019,05,06
恒丰时代,8000,商住,净月福祉大路福祉大路与生态东街交会,49,125.386318,43.786647,2018,10,31
华润置地公元九里,9000,2室/3室,北湖科技开发区工业大学和安街与大学城路交会处,108,125.376178,43.999835,2020,11,05
